lead_id,bot_variant,first_bot_touch_at,first_touch_local_hour,after_hours_flag,num_messages_sent,replied_flag,meeting_booked_by_bot_flag,handoff_to_rep_delay_minutes
L100000,Periskope-B,2026-04-02 23:00:00,18,0,4,0,0,37
L100002,Periskope-B,2026-04-09 07:00:00,2,1,8,0,0,53
L100006,Periskope-A,2026-06-18 17:00:00,13,0,2,0,0,23
L100007,Periskope-B,2026-05-17 11:00:00,5,1,4,0,0,19
L100009,Periskope-A,2026-06-27 10:00:00,5,1,5,1,0,119
L100010,Periskope-B,2026-03-17 13:00:00,9,0,4,0,0,5
L100011,Periskope-A,2026-03-01 08:00:00,4,1,7,1,0,167
L100014,Periskope-A,2026-01-15 11:00:00,6,1,6,0,0,61
L100015,Periskope-B,2026-03-28 05:00:00,0,1,2,0,0,61
L100017,Periskope-A,2026-02-04 15:00:00,10,0,4,0,0,27
L100020,Periskope-B,2026-05-07 10:00:00,5,1,8,0,0,136
L100021,Periskope-A,2026-03-30 17:00:00,12,0,8,0,0,102
L100022,Periskope-B,2026-03-01 09:00:00,5,1,9,0,0,262
L100025,Periskope-A,2026-05-04 18:00:00,12,0,5,0,0,96
L100026,Periskope-B,2026-06-21 01:00:00,19,1,6,0,0,252
L100027,Periskope-A,2026-03-21 05:00:00,0,1,5,1,0,93
L100030,Periskope-A,2026-04-24 01:00:00,20,1,9,1,0,170
L100032,Periskope-A,2026-01-18 02:00:00,22,1,9,0,0,35
L100033,Periskope-A,2026-02-26 05:00:00,1,1,3,1,1,111
L100034,Periskope-B,2026-05-20 09:00:00,4,1,3,1,1,88
L100036,Periskope-A,2026-03-20 01:00:00,19,1,7,0,0,21
L100037,Periskope-A,2026-05-28 05:00:00,1,1,5,0,0,8
L100038,Periskope-B,2026-06-03 00:00:00,18,0,7,1,0,301
L100040,Periskope-B,2026-06-12 20:00:00,15,0,3,0,0,76
L100048,Periskope-B,2026-05-27 06:00:00,1,1,2,1,1,62
L100049,Periskope-A,2026-01-02 09:00:00,5,1,3,0,0,114
L100050,Periskope-A,2026-05-25 03:00:00,21,1,4,0,0,62
L100051,Periskope-B,2026-05-24 03:00:00,22,1,6,0,0,196
L100052,Periskope-A,2026-05-24 20:00:00,15,0,5,1,0,36
L100053,Periskope-A,2026-05-01 09:00:00,4,1,3,0,0,117
L100055,Periskope-A,2026-05-10 01:00:00,20,1,8,1,0,108
L100056,Periskope-A,2026-02-21 14:00:00,10,0,8,1,1,66
L100057,Periskope-A,2026-05-22 00:00:00,19,1,9,1,0,5
L100062,Periskope-A,2026-01-08 02:00:00,22,1,8,0,0,5
L100064,Periskope-A,2026-02-14 12:00:00,7,1,3,1,1,55
L100067,Periskope-A,2026-05-03 07:00:00,1,1,5,1,0,97
L100068,Periskope-B,2026-04-29 02:00:00,22,1,5,1,0,68
L100069,Periskope-B,2026-03-27 12:00:00,6,1,5,1,0,193
L100072,Periskope-A,2026-01-16 00:00:00,19,1,3,0,0,86
L100073,Periskope-B,2026-05-20 17:00:00,11,0,3,0,0,40
L100075,Periskope-B,2026-04-25 13:00:00,8,0,8,1,0,37
L100076,Periskope-B,2026-04-14 20:00:00,16,0,5,0,0,256
L100077,Periskope-A,2026-04-12 18:00:00,13,0,2,0,0,90
L100078,Periskope-A,2026-01-19 23:00:00,18,0,2,0,0,42
L100081,Periskope-A,2026-02-26 05:00:00,23,1,2,0,0,77
L100082,Periskope-B,2026-04-22 09:00:00,3,1,9,0,0,5
L100084,Periskope-B,2026-03-06 12:00:00,7,1,2,0,0,58
L100086,Periskope-A,2026-06-28 08:00:00,3,1,3,1,0,99
L100089,Periskope-B,2026-03-16 05:00:00,0,1,3,0,0,88
L100090,Periskope-B,2026-07-01 19:00:00,14,0,3,0,0,291
L100091,Periskope-A,2026-06-05 14:00:00,9,0,8,0,0,8
L100095,Periskope-A,2026-01-12 05:00:00,23,1,5,0,0,66
L100097,Periskope-A,2026-02-22 00:00:00,18,0,5,0,0,61
L100100,Periskope-A,2026-03-22 13:00:00,7,1,2,0,0,11
L100101,Periskope-A,2026-05-02 15:00:00,10,0,9,1,0,5
L100103,Periskope-A,2026-04-11 19:00:00,14,0,6,0,0,123
L100104,Periskope-A,2026-04-02 22:00:00,16,0,3,0,0,79
L100105,Periskope-B,2026-05-22 07:00:00,2,1,3,0,0,40
L100106,Periskope-B,2026-07-02 23:00:00,18,0,3,0,0,82
L100108,Periskope-B,2026-03-17 00:00:00,19,1,4,1,0,52
L100109,Periskope-B,2026-03-15 14:00:00,9,0,5,0,0,36
L100110,Periskope-A,2026-03-17 20:00:00,15,0,5,0,0,5
L100111,Periskope-B,2026-05-29 14:00:00,9,0,4,0,0,5
L100112,Periskope-A,2026-03-01 06:00:00,2,1,5,1,1,54
L100114,Periskope-A,2026-03-03 21:00:00,15,0,8,0,0,101
L100115,Periskope-A,2026-01-07 15:00:00,11,0,9,0,0,102
L100117,Periskope-A,2026-01-19 03:00:00,21,1,3,0,0,33
L100118,Periskope-B,2026-05-22 10:00:00,5,1,9,1,1,305
L100122,Periskope-B,2026-05-11 14:00:00,9,0,4,0,0,58
L100123,Periskope-A,2026-02-01 19:00:00,15,0,8,0,0,5
L100124,Periskope-A,2026-06-14 10:00:00,6,1,9,1,1,87
L100127,Periskope-A,2026-01-28 03:00:00,21,1,3,0,0,117
L100129,Periskope-A,2026-05-09 00:00:00,18,0,5,0,0,129
L100131,Periskope-A,2026-03-23 10:00:00,5,1,3,0,0,57
L100132,Periskope-A,2026-02-01 18:00:00,13,0,2,0,0,17
L100133,Periskope-A,2026-03-12 07:00:00,2,1,4,0,0,122
L100134,Periskope-A,2026-02-13 10:00:00,5,1,2,1,0,145
L100135,Periskope-A,2026-02-24 16:00:00,12,0,2,0,0,61
L100137,Periskope-B,2026-04-27 12:00:00,7,1,4,0,0,96
L100138,Periskope-A,2026-04-22 20:00:00,14,0,4,0,0,115
L100139,Periskope-B,2026-03-07 01:00:00,19,1,7,0,0,57
L100141,Periskope-A,2026-01-17 20:00:00,15,0,7,0,0,174
L100142,Periskope-A,2026-03-06 23:00:00,18,0,5,0,0,32
L100144,Periskope-A,2026-03-03 08:00:00,3,1,6,1,1,97
L100145,Periskope-A,2026-06-24 15:00:00,9,0,7,0,0,75
L100146,Periskope-B,2026-03-08 20:00:00,15,0,3,0,0,99
L100147,Periskope-B,2026-06-14 14:00:00,8,1,6,0,0,352
L100148,Periskope-B,2026-04-02 07:00:00,2,1,3,0,0,66
L100149,Periskope-A,2026-05-08 20:00:00,14,0,4,0,0,112
L100150,Periskope-B,2026-03-24 17:00:00,12,0,4,0,0,5
L100151,Periskope-A,2026-02-20 03:00:00,22,1,6,0,0,54
