call_id,lead_id,rep_id,call_at_utc,call_local_hour,duration_seconds,connected_flag,disposition,dialer_source,scheduled_flag
C0000000,L100000,SDR02,2026-04-08 20:00:00,15,14,0,Busy,Genesys,0
C0000001,L100000,SDR02,2026-04-01 11:00:00,6,40,1,Connected - Discovery,Genesys,0
C0000100,L100001,SDR02,2026-01-21 21:00:00,15,24,0,Wrong Number,Genesys,1
C0000101,L100001,SDR02,2026-01-19 16:00:00,10,318,1,Connected - Discovery,Manual,1
C0000102,L100001,AE04,2026-01-20 12:00:00,6,22,0,No Answer,Genesys,0
C0000200,L100002,SDR01,2026-04-14 11:00:00,6,24,0,Wrong Number,Genesys,0
C0000201,L100002,SDR01,2026-04-18 08:00:00,3,28,0,No Answer,Genesys,0
C0000300,L100003,SDR01,2026-01-29 12:00:00,7,9,0,Busy,Genesys,0
C0000301,L100003,SDR01,2026-02-02 20:00:00,15,385,1,Connected - Discovery,Genesys,0
C0000302,L100003,AE06,2026-02-04 08:00:00,3,26,0,Busy,Genesys,0
C0000303,L100003,AE02,2026-02-05 19:00:00,14,238,1,Connected - Demo Scheduled,Manual,1
C0000400,L100004,SDR04,2026-05-28 12:00:00,8,339,1,Connected - Discovery,Genesys,0
C0000600,L100006,SDR01,2026-06-19 20:00:00,16,260,1,Connected - Follow-up,Manual,0
C0000601,L100006,SDR01,2026-06-26 12:00:00,8,22,0,No Answer,Genesys,0
C0001000,L100010,SDR04,2026-03-24 09:00:00,5,266,1,Connected - Discovery,Manual,0
C0001001,L100010,SDR04,2026-03-23 14:00:00,10,553,1,Connected - Discovery,Genesys,0
C0001002,L100010,AE02,2026-03-20 13:00:00,9,79,1,Connected - Demo Scheduled,Genesys,0
C0001100,L100011,SDR02,2026-03-10 12:00:00,8,16,0,No Answer,Manual,0
C0001101,L100011,SDR02,2026-03-07 11:00:00,7,30,0,Busy,Genesys,0
C0001102,L100011,AE07,2026-02-28 12:00:00,8,410,1,Connected - Discovery,Genesys,0
C0001103,L100011,AE07,2026-03-03 21:00:00,17,461,1,Connected - Discovery,Genesys,0
C0001104,L100011,AE08,2026-03-11 14:00:00,10,18,0,Wrong Number,Genesys,0
C0001300,L100013,SDR02,2026-03-20 11:00:00,6,341,1,Connected - Discovery,Genesys,0
C0001301,L100013,SDR02,2026-03-10 20:00:00,15,341,1,Connected - Discovery,Genesys,0
C0001302,L100013,AE05,2026-03-13 12:00:00,7,14,0,Voicemail,Genesys,0
C0001400,L100014,SDR02,2026-01-24 11:00:00,6,471,1,Connected - Follow-up,Genesys,0
C0001401,L100014,SDR02,2026-01-17 17:00:00,12,214,1,Connected - Follow-up,Manual,0
C0001402,L100014,AE08,2026-01-24 09:00:00,4,350,1,Connected - Follow-up,Manual,0
C0001403,L100014,AE07,2026-01-22 08:00:00,3,38,0,No Answer,Genesys,0
C0001500,L100015,SDR01,2026-03-29 14:00:00,9,222,1,Connected - Demo Scheduled,Genesys,1
C0001501,L100015,SDR01,2026-03-28 08:00:00,3,16,0,No Answer,Genesys,0
C0001600,L100016,SDR04,2026-05-25 09:00:00,3,30,0,No Answer,Genesys,0
C0001601,L100016,SDR04,2026-05-25 10:00:00,4,17,0,Voicemail,Genesys,0
C0001602,L100016,AE07,2026-05-26 16:00:00,10,29,0,No Answer,Genesys,0
C0001700,L100017,SDR01,2026-02-13 18:00:00,13,313,1,Connected - Discovery,Genesys,1
C0001800,L100018,SDR02,2026-03-31 09:00:00,4,565,1,Connected - Follow-up,Genesys,1
C0001801,L100018,SDR02,2026-04-05 14:00:00,9,393,1,Connected - Follow-up,Genesys,0
C0001802,L100018,AE08,2026-03-31 11:00:00,6,456,1,Connected - Discovery,Genesys,1
C0001803,L100018,AE09,2026-04-02 12:00:00,7,41,0,Wrong Number,Genesys,0
C0001900,L100019,SDR02,2026-02-06 15:00:00,9,360,1,Connected - Follow-up,Genesys,0
C0001901,L100019,SDR02,2026-01-28 14:00:00,8,28,0,No Answer,Genesys,0
C0001902,L100019,AE07,2026-02-04 19:00:00,13,530,1,Connected - Discovery,Manual,1
C0001903,L100019,AE08,2026-02-03 12:00:00,6,449,1,Connected - Demo Scheduled,Manual,1
C0001904,L100019,AE09,2026-02-04 10:00:00,4,21,0,No Answer,Genesys,0
C0002000,L100020,SDR02,2026-05-07 16:00:00,11,32,0,Voicemail,Genesys,0
