lead_id,created_at,country,timezone_utc_offset,segment,channel,company_size_band,estimated_team_size,buyer_role,expected_mrr_usd,business_hours_start_local,business_hours_end_local
L100000,2026-04-01,COL,-5,SMB,Referral,2-10,4,Owner,79.81,8,18
L100001,2026-01-08,CRI,-6,SMB,Organic,Solo,1,Finance Lead,28.96,8,18
L100002,2026-04-09,COL,-5,SMB,Organic,Solo,1,Finance Lead,29.26,8,18
L100003,2026-01-28,PER,-5,SMB,Paid Search,Solo,1,Operations,33.96,8,18
L100004,2026-05-15,DOM,-4,SMB,Outbound,51-200,54,Owner,382.27,8,18
L100005,2026-05-04,COL,-5,AccountantFirm,Partner Program,Solo,1,Firm Owner,90.06,9,18
L100006,2026-06-16,DOM,-4,SMB,Marketplace,51-200,59,Operations,239.69,8,18
L100007,2026-05-15,MEX,-6,SMB,Referral,Solo,1,Owner,40.45,8,18
L100008,2026-03-08,COL,-5,SMB,Partner Program,51-200,117,Operations,474.65,8,18
L100009,2026-06-25,COL,-5,SMB,Webinar,2-10,7,Operations,67.72,8,18
L100010,2026-03-16,DOM,-4,SMB,Outbound,51-200,66,Owner,473.62,8,18
L100011,2026-02-28,DOM,-4,AccountantFirm,Paid Search,Solo,1,Senior Accountant,88.53,9,18
L100012,2026-06-13,COL,-5,SMB,Webinar,Solo,1,Owner,36.77,8,18
L100013,2026-03-09,PER,-5,SMB,Organic,2-10,10,Owner,67.85,8,18
L100014,2026-01-14,COL,-5,AccountantFirm,Referral,Solo,1,Partner,94.57,9,18
L100015,2026-03-26,COL,-5,SMB,Referral,2-10,8,Owner,60.61,8,18
L100016,2026-05-25,MEX,-6,AccountantFirm,Outbound,2-10,7,Partner,132.61,9,18
L100017,2026-02-04,COL,-5,SMB,Marketplace,2-10,2,Owner,67.61,8,18
L100018,2026-03-25,COL,-5,AccountantFirm,Marketplace,2-10,6,Partner,185.74,9,18
L100019,2026-01-24,MEX,-6,AccountantFirm,Paid Search,11-50,47,Partner,210.53,9,18
L100020,2026-05-05,COL,-5,AccountantFirm,Webinar,Solo,1,Partner,93.07,9,18
L100021,2026-03-28,COL,-5,SMB,Outbound,2-10,4,Owner,62.68,8,18
L100022,2026-03-01,DOM,-4,AccountantFirm,Organic,2-10,6,Firm Owner,154.37,9,18
L100023,2026-02-11,MEX,-6,AccountantFirm,Referral,Solo,1,Firm Owner,131.29,9,18
L100024,2026-04-13,CRI,-6,SMB,Marketplace,2-10,7,Finance Lead,83.99,8,18
L100025,2026-05-02,MEX,-6,AccountantFirm,Partner Program,11-50,38,Partner,426.52,9,18
L100026,2026-06-20,MEX,-6,AccountantFirm,Marketplace,2-10,10,Partner,194.56,9,18
L100027,2026-03-21,COL,-5,SMB,Organic,2-10,3,Owner,52.81,8,18
L100028,2026-01-30,CRI,-6,AccountantFirm,Partner Program,2-10,2,Partner,208.49,9,18
L100029,2026-05-31,COL,-5,SMB,Partner Program,2-10,2,Operations,88.19,8,18
L100030,2026-04-24,COL,-5,SMB,Paid Search,11-50,21,Operations,151.63,8,18
L100031,2026-05-07,CRI,-6,SMB,Webinar,2-10,5,Finance Lead,64.06,8,18
L100032,2026-01-18,DOM,-4,SMB,Outbound,2-10,9,Operations,77.73,8,18
L100033,2026-02-26,DOM,-4,AccountantFirm,Partner Program,2-10,6,Firm Owner,203.05,9,18
L100034,2026-05-19,COL,-5,SMB,Referral,Solo,1,Operations,29.16,8,18
L100035,2026-05-31,COL,-5,SMB,Paid Search,11-50,40,Owner,172.09,8,18
L100036,2026-03-20,MEX,-6,SMB,Organic,Solo,1,Owner,29.35,8,18
L100037,2026-05-26,DOM,-4,SMB,Paid Search,2-10,7,Owner,47.04,8,18
L100038,2026-06-02,MEX,-6,AccountantFirm,Partner Program,2-10,10,Firm Owner,236.83,9,18
L100039,2026-03-12,COL,-5,AccountantFirm,Partner Program,11-50,24,Partner,283.63,9,18
L100040,2026-06-12,COL,-5,SMB,Organic,11-50,37,Owner,188.28,8,18
L100041,2026-02-22,MEX,-6,SMB,Paid Search,2-10,4,Operations,56.68,8,18
L100042,2026-02-13,DOM,-4,SMB,Paid Search,Solo,1,Operations,19.0,8,18
L100043,2026-05-04,COL,-5,SMB,Paid Search,Solo,1,Finance Lead,27.55,8,18
L100044,2026-04-26,COL,-5,SMB,Webinar,2-10,4,Owner,100.23,8,18
L100045,2026-01-26,COL,-5,SMB,Marketplace,2-10,10,Owner,64.1,8,18
L100046,2026-05-31,COL,-5,SMB,Outbound,Solo,1,Owner,41.2,8,18
L100047,2026-02-06,MEX,-6,SMB,Referral,2-10,2,Owner,66.35,8,18
L100048,2026-05-26,COL,-5,SMB,Marketplace,51-200,91,Owner,403.12,8,18
L100049,2026-01-02,DOM,-4,SMB,Paid Search,2-10,5,Operations,51.76,8,18
L100050,2026-05-25,CRI,-6,AccountantFirm,Partner Program,2-10,3,Firm Owner,163.66,9,18
L100051,2026-05-23,PER,-5,AccountantFirm,Organic,11-50,41,Firm Owner,303.75,9,18
L100052,2026-05-22,PER,-5,SMB,Webinar,2-10,5,Owner,61.11,8,18
L100053,2026-05-01,COL,-5,AccountantFirm,Outbound,Solo,1,Firm Owner,83.6,9,18
L100054,2026-03-27,COL,-5,AccountantFirm,Webinar,Solo,1,Firm Owner,58.26,9,18
L100055,2026-05-08,COL,-5,SMB,Paid Search,2-10,6,Owner,67.84,8,18
L100056,2026-02-20,DOM,-4,SMB,Webinar,11-50,23,Owner,171.52,8,18
L100057,2026-05-22,COL,-5,SMB,Paid Search,Solo,1,Finance Lead,26.18,8,18
L100058,2026-04-11,MEX,-6,AccountantFirm,Partner Program,2-10,10,Partner,161.57,9,18
L100059,2026-03-25,COL,-5,SMB,Paid Search,51-200,114,Finance Lead,458.71,8,18
L100060,2026-04-02,COL,-5,SMB,Paid Search,2-10,9,Operations,78.49,8,18
L100061,2026-04-13,DOM,-4,SMB,Paid Search,11-50,35,Finance Lead,109.96,8,18
L100062,2026-01-07,DOM,-4,SMB,Webinar,2-10,10,Owner,62.22,8,18
L100063,2026-01-26,MEX,-6,AccountantFirm,Partner Program,51-200,141,Senior Accountant,612.21,9,18
L100064,2026-02-14,PER,-5,SMB,Webinar,2-10,10,Operations,31.45,8,18
L100065,2026-01-21,COL,-5,AccountantFirm,Outbound,11-50,38,Partner,455.95,9,18
L100066,2026-03-21,COL,-5,AccountantFirm,Paid Search,Solo,1,Firm Owner,82.72,9,18
L100067,2026-05-01,MEX,-6,AccountantFirm,Organic,11-50,13,Partner,556.62,9,18
L100068,2026-04-29,DOM,-4,SMB,Paid Search,2-10,3,Owner,67.81,8,18
L100069,2026-03-27,MEX,-6,AccountantFirm,Partner Program,2-10,9,Partner,164.26,9,18
L100070,2026-06-04,COL,-5,SMB,Organic,2-10,2,Owner,43.3,8,18
L100071,2026-04-13,PER,-5,SMB,Paid Search,51-200,79,Finance Lead,335.81,8,18
L100072,2026-01-15,COL,-5,AccountantFirm,Organic,11-50,42,Partner,421.4,9,18
L100073,2026-05-19,MEX,-6,SMB,Referral,Solo,1,Operations,48.6,8,18
L100074,2026-04-15,DOM,-4,SMB,Paid Search,2-10,5,Owner,54.37,8,18
L100075,2026-04-25,PER,-5,SMB,Organic,2-10,3,Owner,81.51,8,18
L100076,2026-04-13,DOM,-4,AccountantFirm,Marketplace,2-10,3,Firm Owner,106.59,9,18
L100077,2026-04-11,PER,-5,SMB,Marketplace,Solo,1,Finance Lead,25.48,8,18
L100078,2026-01-17,COL,-5,SMB,Paid Search,2-10,4,Owner,66.31,8,18
