activity_id,lead_id,activity_at,activity_type,activity_source,rep_id,duration_minutes
A0000000B,L100000,2026-04-02 05:00:00,task,bot,SDR02,0
A0000001B,L100000,2026-04-01 07:00:00,whatsapp,bot,SDR02,0
A0000000H,L100000,2026-04-08 20:00:00,call,human,SDR02,1
A0000001H,L100000,2026-04-01 11:00:00,call,human,SDR02,1
A0000100H,L100001,2026-01-21 21:00:00,call,human,SDR02,1
A0000101H,L100001,2026-01-19 16:00:00,call,human,SDR02,6
A0000102H,L100001,2026-01-20 12:00:00,call,human,AE04,1
A00001X00,L100001,2026-01-21 15:00:00,whatsapp,human,AE02,29
A00001X01,L100001,2026-01-24 10:00:00,task,human,AE01,40
A00001X02,L100001,2026-01-23 12:00:00,meeting,human,AE06,43
A00001X03,L100001,2026-01-14 12:00:00,task,human,AE01,37
A0000200B,L100002,2026-04-09 08:00:00,task,bot,SDR01,0
A0000200H,L100002,2026-04-14 11:00:00,call,human,SDR01,1
A0000201H,L100002,2026-04-18 08:00:00,call,human,SDR01,1
A00002X00,L100002,2026-04-28 12:00:00,note,human,AE03,20
A00002X01,L100002,2026-04-10 12:00:00,email,human,AE02,26
A0000300H,L100003,2026-01-29 12:00:00,call,human,SDR01,1
A0000301H,L100003,2026-02-02 20:00:00,call,human,SDR01,7
A0000302H,L100003,2026-02-04 08:00:00,call,human,AE06,1
A0000303H,L100003,2026-02-05 19:00:00,call,human,AE02,4
A0000400H,L100004,2026-05-28 12:00:00,call,human,SDR04,6
A00004X00,L100004,2026-05-22 09:00:00,note,human,AE06,31
A00004X01,L100004,2026-05-17 18:00:00,email,human,AE05,22
A00005X00,L100005,2026-05-04 09:00:00,email,human,AE07,60
A00005X01,L100005,2026-05-23 10:00:00,note,human,AE07,33
A00005X02,L100005,2026-05-20 09:00:00,meeting,human,AE07,15
A0000600B,L100006,2026-06-18 17:00:00,task,system,,0
A0000600H,L100006,2026-06-19 20:00:00,call,human,SDR01,5
A0000601H,L100006,2026-06-26 12:00:00,call,human,SDR01,1
A00006X00,L100006,2026-06-18 08:00:00,meeting,human,AE04,6
A0000700B,L100007,2026-05-18 15:00:00,task,bot,SDR02,0
A0000701B,L100007,2026-05-15 09:00:00,whatsapp,bot,SDR02,0
A0000800B,L100008,2026-03-08 13:00:00,whatsapp,system,,0
A00008X00,L100008,2026-03-14 08:00:00,meeting,human,AE04,28
A00008X01,L100008,2026-03-19 09:00:00,email,human,AE01,42
A00008X02,L100008,2026-03-25 12:00:00,email,human,AE02,7
A00008X03,L100008,2026-03-19 08:00:00,note,human,AE01,32
A0000900B,L100009,2026-06-27 18:00:00,email,bot,SDR02,0
A00009X00,L100009,2026-07-05 14:00:00,note,human,AE01,5
A0001000B,L100010,2026-03-19 17:00:00,task,bot,SDR04,0
A0001000H,L100010,2026-03-24 09:00:00,call,human,SDR04,5
A0001001H,L100010,2026-03-23 14:00:00,call,human,SDR04,10
A0001002H,L100010,2026-03-20 13:00:00,call,human,AE02,2
A0001100B,L100011,2026-02-28 23:00:00,whatsapp,bot,SDR02,0
A0001100H,L100011,2026-03-10 12:00:00,call,human,SDR02,1
A0001101H,L100011,2026-03-07 11:00:00,call,human,SDR02,1
A0001102H,L100011,2026-02-28 12:00:00,call,human,AE07,7
A0001103H,L100011,2026-03-03 21:00:00,call,human,AE07,8
A0001104H,L100011,2026-03-11 14:00:00,call,human,AE08,1
A00011X00,L100011,2026-03-05 09:00:00,email,human,AE08,18
A0001200B,L100012,2026-06-14 15:00:00,email,system,,0
A0001300B,L100013,2026-03-12 03:00:00,whatsapp,system,,0
A0001300H,L100013,2026-03-20 11:00:00,call,human,SDR02,6
A0001301H,L100013,2026-03-10 20:00:00,call,human,SDR02,6
A0001302H,L100013,2026-03-13 12:00:00,call,human,AE05,1
A00013X00,L100013,2026-03-25 09:00:00,email,human,AE05,24
A0001400B,L100014,2026-01-15 20:00:00,task,bot,SDR02,0
A0001401B,L100014,2026-01-15 13:00:00,task,bot,SDR02,0
A0001400H,L100014,2026-01-24 11:00:00,call,human,SDR02,8
A0001401H,L100014,2026-01-17 17:00:00,call,human,SDR02,4
A0001402H,L100014,2026-01-24 09:00:00,call,human,AE08,6
A0001403H,L100014,2026-01-22 08:00:00,call,human,AE07,1
A00014X00,L100014,2026-01-16 08:00:00,whatsapp,human,AE08,38
A00014X01,L100014,2026-01-27 10:00:00,meeting,human,AE09,41
A00014X02,L100014,2026-01-28 16:00:00,email,human,AE09,6
A00014X03,L100014,2026-01-31 17:00:00,whatsapp,human,AE08,22
A0001500B,L100015,2026-03-29 15:00:00,task,system,,0
A0001501B,L100015,2026-03-26 08:00:00,whatsapp,system,,0
A0001502B,L100015,2026-03-28 05:00:00,whatsapp,bot,SDR01,0
A0001500H,L100015,2026-03-29 14:00:00,call,human,SDR01,4
A0001501H,L100015,2026-03-28 08:00:00,call,human,SDR01,1
A00015X00,L100015,2026-04-01 16:00:00,task,human,AE04,15
A00015X01,L100015,2026-04-11 15:00:00,meeting,human,AE06,27
A00015X02,L100015,2026-04-01 12:00:00,note,human,AE02,7
A0001600H,L100016,2026-05-25 09:00:00,call,human,SDR04,1
A0001601H,L100016,2026-05-25 10:00:00,call,human,SDR04,1
A0001602H,L100016,2026-05-26 16:00:00,call,human,AE07,1
A00016X00,L100016,2026-06-07 09:00:00,email,human,AE07,15
